variable,min_value,max_value,points,use_min_or_max,special_condition
temp,36,38.4999,0,both,
temp,34,35.999,1,both,
temp,38.5,38.999,1,both,
temp,32,33.999,2,both,
temp,30,31.999,3,both,
temp,39,40.999,3,both,
temp,,29.999,4,both,
temp,41,,4,both,
wcc,3,14.999,0,both,
wcc,15,19.999,1,both,
wcc,1,2.999,2,both,
wcc,20,39.999,2,both,
wcc,,0.999,4,both,
wcc,40,,4,both,
map,70,109.999,0,both,
map,50,69.999,2,both,
map,110,129.999,2,both,
map,130,159.999,3,both,
map,,49.999,4,both,
map,160,,4,both,
hr,70,109.999,0,both,
hr,55,69.999,2,both,
hr,110,139.999,2,both,
hr,40,54.999,3,both,
hr,140,179.999,3,both,
hr,,39.999,4,both,
hr,180,,4,both,
rr,12,24.999,0,both,
rr,10,11.999,1,both,
rr,25,34.999,1,both,
rr,6,9.999,2,both,
rr,35,49.999,3,both,
rr,,5.999,4,both,
rr,50,,4,both,
hematocrit,30,45.999,0,both,
hematocrit,46,49.999,1,both,
hematocrit,20,29.999,2,both,
hematocrit,50,59.999,2,both,
hematocrit,,19.999,4,both,
hematocrit,60,,4,both,
ph,7.33,7.4999,0,both,
ph,7.5,7.5999,1,both,
ph,7.25,7.3299,2,both,
ph,7.15,7.2499,3,both,
ph,7.6,7.6999,3,both,
ph,,7.1499,4,both,
ph,7.7,,4,both,
bicarbonate,22,31.999,0,both,ph_missing
bicarbonate,32,40.999,1,both,ph_missing
bicarbonate,18,21.999,2,both,ph_missing
bicarbonate,15,17.999,3,both,ph_missing
bicarbonate,41,51.999,3,both,ph_missing
bicarbonate,,14.999,4,both,ph_missing
bicarbonate,52,,4,both,ph_missing
sodium,130,149.999,0,both,
sodium,150,154.999,1,both,
sodium,120,129.999,2,both,
sodium,155,159.999,2,both,
sodium,111,119.999,3,both,
sodium,160,179.999,3,both,
sodium,,110.999,4,both,
sodium,180,,4,both,
potassium,3.5,5.4999,0,both,
potassium,3,3.4999,1,both,
potassium,5.5,5.9999,1,both,
potassium,2.5,2.9999,2,both,
potassium,6,6.9999,3,both,
potassium,,2.4999,4,both,
potassium,7,,4,both,
creatinine,0.6,1.4999,0,both,
creatinine,,0.5999,2,both,
creatinine,1.5,1.9999,2,both,
creatinine,2,3.4999,3,both,
creatinine,3.5,,4,both,
age,,44.999,0,age,
age,45,54.999,2,age,
age,55,64.999,3,age,
age,65,74.999,5,age,
age,75,,6,age,
