variable,min_value,max_value,points,use_min_or_max,special_condition
platelet,150,,0,min,
platelet,100,149.999,1,min,
platelet,50,99.999,2,min,
platelet,20,49.999,3,min,
platelet,,19.999,4,min,
bilirubin,,1.1999,0,max,
bilirubin,1.2,1.9999,1,max,
bilirubin,2,5.9999,2,max,
bilirubin,6,11.9999,3,max,
bilirubin,12,,4,max,
map,70,,0,min,
map,,69.999,1,min,
creatinine,,1.1999,0,max,
creatinine,1.2,1.9999,1,max,
creatinine,2,3.4999,2,max,
creatinine,3.5,4.9999,3,max,
creatinine,5,,4,max,
gcs,15,15,0,min,
gcs,13,14.999,1,min,
gcs,10,12.999,2,min,
gcs,6,9.999,3,min,
gcs,,5.999,4,min,
